[16-11-2017 05:11:06pm] Debug: Đăng ký sự kiện (chưa đăng ký) cho cán bộ 00123459 thành công

﻿[16-11-2017 05:11:06pm] Debug: Điểm danh vào (chưa đăng ký sự kiện) trước cho cán bộ 00123459 thành công

﻿[16-11-2017 05:11:33pm] Debug: Thêm thông tin nặc danh sinh viên B1600006 thành công

﻿[16-11-2017 05:11:33pm] Debug: Đăng ký thẻ nặc danh cho sinh viên B1600006 thành công

﻿[16-11-2017 05:11:33pm] Debug: Đăng ký sự kiện nặc danh cho sinh viên B1600006 thành công

﻿[16-11-2017 05:11:33pm] Debug: Điểm danh vào nặc danh cho sinh viên B1600006 thành công

﻿[16-11-2017 05:11:00pm] Debug: Thêm số liệu thành công loại ds 1 của sự kiên 2

﻿[16-11-2017 05:11:00pm] Debug: Thêm số liệu thành công loại ds 2 của sự kiên 2

﻿[16-11-2017 05:11:00pm] Debug: Thêm số liệu thành công loại ds 3 của sự kiên 2

﻿[16-11-2017 05:11:00pm] Debug: Thêm số liệu thành công loại ds 4 của sự kiên 2

﻿[16-11-2017 05:11:01pm] Debug: Thêm số liệu thành công loại ds 7 của sự kiên 2

﻿[16-11-2017 05:11:14pm] Debug: Thêm số liệu thành công loại ds 1 của sự kiên 2

﻿[16-11-2017 05:11:14pm] Debug: Thêm số liệu thành công loại ds 2 của sự kiên 2

﻿[16-11-2017 05:11:14pm] Debug: Thêm số liệu thành công loại ds 3 của sự kiên 2

﻿[16-11-2017 05:11:14pm] Debug: Thêm số liệu thành công loại ds 4 của sự kiên 2

﻿[16-11-2017 05:11:14pm] Debug: Thêm số liệu thành công loại ds 7 của sự kiên 2

﻿[16-11-2017 09:11:55pm] Debug: Thêm số liệu thành công loại ds 1 của sự kiên 2

﻿[16-11-2017 09:11:55pm] Debug: Thêm số liệu thành công loại ds 2 của sự kiên 2

﻿[16-11-2017 09:11:55pm] Debug: Thêm số liệu thành công loại ds 3 của sự kiên 2

﻿[16-11-2017 09:11:55pm] Debug: Thêm số liệu thành công loại ds 4 của sự kiên 2

﻿[16-11-2017 09:11:55pm] Debug: Thêm số liệu thành công loại ds 7 của sự kiên 2

﻿[16-11-2017 09:11:38pm] Debug: Thêm số liệu thành công loại ds 1 của sự kiên 2

﻿[16-11-2017 09:11:38pm] Debug: Thêm số liệu thành công loại ds 2 của sự kiên 2

﻿[16-11-2017 09:11:38pm] Debug: Thêm số liệu thành công loại ds 3 của sự kiên 2

﻿[16-11-2017 09:11:38pm] Debug: Thêm số liệu thành công loại ds 4 của sự kiên 2

﻿[16-11-2017 09:11:38pm] Debug: Thêm số liệu thành công loại ds 7 của sự kiên 2

﻿[16-11-2017 10:11:11pm] Debug: Thêm số liệu thành công loại ds 1 của sự kiên 2

﻿[16-11-2017 10:11:11pm] Debug: Thêm số liệu thành công loại ds 2 của sự kiên 2

﻿[16-11-2017 10:11:11pm] Debug: Thêm số liệu thành công loại ds 3 của sự kiên 2

﻿[16-11-2017 10:11:11pm] Debug: Thêm số liệu thành công loại ds 4 của sự kiên 2

﻿[16-11-2017 10:11:11pm] Debug: Thêm số liệu thành công loại ds 7 của sự kiên 2

﻿[16-11-2017 10:11:25pm] Debug: Thêm số liệu thành công loại ds 1 của sự kiên 2

﻿[16-11-2017 10:11:25pm] Debug: Thêm số liệu thành công loại ds 2 của sự kiên 2

﻿[16-11-2017 10:11:25pm] Debug: Thêm số liệu thành công loại ds 3 của sự kiên 2

﻿[16-11-2017 10:11:25pm] Debug: Thêm số liệu thành công loại ds 4 của sự kiên 2

﻿[16-11-2017 10:11:25pm] Debug: Thêm số liệu thành công loại ds 7 của sự kiên 2

﻿[16-11-2017 11:11:24pm] Debug: Thêm số liệu thành công loại ds 1 của sự kiên 2

﻿[16-11-2017 11:11:24pm] Debug: Thêm số liệu thành công loại ds 2 của sự kiên 2

﻿[16-11-2017 11:11:24pm] Debug: Thêm số liệu thành công loại ds 3 của sự kiên 2

﻿[16-11-2017 11:11:24pm] Debug: Thêm số liệu thành công loại ds 4 của sự kiên 2

﻿[16-11-2017 11:11:24pm] Debug: Thêm số liệu thành công loại ds 7 của sự kiên 2

